Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kyle Kuzma\kuzmaky01,23,70,68,2314,496,1087,.456,128,422,.303,368,665,.553,.515,188,250,.752,60,322,382,178,41,26,133,170,1308
2,Kentavious Caldwell-Pope\caldwke01,25,82,23,2035,325,756,.430,151,435,.347,174,321,.542,.530,137,158,.867,48,190,238,110,73,13,65,137,938
3,LeBron James\jamesle01,34,55,55,1937,558,1095,.510,111,327,.339,447,768,.582,.560,278,418,.665,57,408,465,454,72,33,197,94,1505
4,Brandon Ingram\ingrabr01,21,52,52,1760,362,729,.497,31,94,.330,331,635,.521,.518,195,289,.675,41,226,267,154,28,31,129,149,950
5,Josh Hart\hartjo01,23,67,22,1715,189,464,.407,92,274,.336,97,190,.511,.506,55,80,.688,35,213,248,93,64,40,58,147,525
6,JaVale McGee\mcgeeja01,31,75,62,1671,400,641,.624,1,12,.083,399,629,.634,.625,96,152,.632,195,371,566,52,47,148,108,208,897
7,Lonzo Ball\balllo01,21,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,465
8,Rajon Rondo\rondora01,32,46,29,1369,175,432,.405,51,142,.359,124,290,.428,.464,23,36,.639,34,209,243,367,57,7,127,100,424
9,Lance Stephenson\stephla01,28,68,3,1123,184,432,.426,73,197,.371,111,235,.472,.510,50,73,.685,32,183,215,140,41,7,86,111,491
10,Tyson Chandler\chandty01,36,48,6,786,53,87,.609,0,1,.000,53,86,.616,.609,41,69,.594,85,183,268,31,19,22,35,89,147
11,Alex Caruso\carusal01,24,25,4,531,77,173,.445,24,50,.480,53,123,.431,.514,51,64,.797,20,47,67,77,24,9,42,54,229
12,Reggie Bullock\bullore01,27,19,16,524,63,153,.412,34,99,.343,29,54,.537,.523,17,21,.810,2,48,50,20,16,7,11,30,177
13,Ivica Zubac\zubaciv01,21,33,12,516,112,193,.580,0,0,,112,193,.580,.580,57,66,.864,54,108,162,25,4,27,33,73,281
14,Moritz Wagner\wagnemo01,21,43,5,446,71,171,.415,22,77,.286,49,94,.521,.480,43,53,.811,17,68,85,24,11,13,39,57,207
15,Sviatoslav Mykhailiuk\mykhasv01,21,39,0,420,44,132,.333,27,85,.318,17,47,.362,.436,12,20,.600,8,26,34,33,13,1,20,25,127
16,Johnathan Williams\willijo04,23,24,0,372,65,110,.591,0,2,.000,65,108,.602,.591,27,48,.563,48,51,99,13,8,7,16,62,157
17,Michael Beasley\beaslmi01,30,26,2,277,75,153,.490,3,17,.176,72,136,.529,.500,28,39,.718,13,47,60,25,9,10,27,42,181
18,Mike Muscala\muscami01,27,17,4,265,36,83,.434,21,57,.368,15,26,.577,.560,7,8,.875,6,38,44,14,4,11,5,18,100
19,Jemerrio Jones\jonesje01,23,6,2,143,12,33,.364,2,10,.200,10,23,.435,.394,1,2,.500,16,33,49,13,7,5,5,10,27
20,Isaac Bonga\bongais01,19,22,0,120,5,33,.152,0,8,.000,5,25,.200,.152,9,15,.600,9,16,25,15,9,4,6,9,19
21,Scott Machado\machasc01,28,4,0,19,4,6,.667,1,1,1.000,3,5,.600,.750,1,1,1.000,0,0,0,3,1,0,0,2,10
22,Andre Ingram\ingraan01,33,4,0,15,0,6,.000,0,3,.000,0,3,.000,.000,0,0,,1,1,2,0,1,0,1,0,0
