Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brandon Ingram\ingrabr01,22,42,42,1450,359,769,.467,103,261,.395,256,508,.504,.534,229,268,.854,37,233,270,180,38,34,128,125,1050
2,Jrue Holiday\holidjr01,29,38,38,1352,297,674,.441,79,223,.354,218,451,.483,.499,79,110,.718,52,133,185,240,64,28,114,82,752
3,Lonzo Ball\balllo01,22,39,30,1221,174,447,.389,90,251,.359,84,196,.429,.490,27,50,.540,46,180,226,258,50,14,107,75,465
4,J.J. Redick\redicjj01,35,42,35,1176,204,448,.455,131,280,.468,73,168,.435,.602,116,131,.885,9,108,117,79,13,7,49,64,655
5,Josh Hart\hartjo01,24,40,11,1134,147,352,.418,84,239,.351,63,113,.558,.537,50,66,.758,40,209,249,58,44,15,49,110,428
6,Jaxson Hayes\hayesja02,19,44,12,850,138,208,.663,1,4,.250,137,204,.672,.666,97,155,.626,75,127,202,42,21,49,37,125,374
7,Kenrich Williams\willike04,25,35,18,779,49,143,.343,25,96,.260,24,47,.511,.430,9,24,.375,49,129,178,53,25,21,21,81,132
8,E'Twaun Moore\mooreet01,30,35,5,720,137,321,.427,51,129,.395,86,192,.448,.506,23,36,.639,23,75,98,59,21,5,27,56,348
9,Derrick Favors\favorde01,28,28,26,683,126,204,.618,1,4,.250,125,200,.625,.620,26,43,.605,92,189,281,54,17,32,35,64,279
10,Nicolò Melli\mellini01,29,35,5,519,66,151,.437,32,94,.340,34,57,.596,.543,30,37,.811,17,66,83,35,20,7,26,61,194
11,Frank Jackson\jacksfr01,21,38,1,511,79,200,.395,28,92,.304,51,108,.472,.465,35,46,.761,13,34,47,30,14,2,32,52,221
12,Nickeil Alexander-Walker\alexani01,21,37,0,487,77,222,.347,40,116,.345,37,106,.349,.437,17,28,.607,7,70,77,72,10,7,35,43,211
13,Jahlil Okafor\okafoja01,24,25,9,403,85,138,.616,1,2,.500,84,136,.618,.620,37,57,.649,44,69,113,35,5,19,35,61,208
14,Zion Williamson\willizi01,19,3,3,67,24,36,.667,4,6,.667,20,30,.667,.722,6,16,.375,10,14,24,5,2,1,10,6,58
15,Zylan Cheatham\cheatzy01,24,3,0,31,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,1,5,6,2,0,1,3,5,4
16,Josh Gray\grayjo01,26,2,0,23,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,1,2,2,0,0,5,1,2
