Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Lyon-Villeurbanne *,34,1022,2099,.487,265,689,.385,757,1410,.537,557,757,.736,300,787,1087,679,228,95,430,740,2866
2,Monaco *,34,1082,2222,.487,262,730,.359,820,1492,.550,401,540,.743,320,833,1153,656,259,73,399,651,2827
3,Dijon *,34,1018,2077,.490,286,761,.376,732,1316,.556,439,561,.783,208,685,893,681,316,56,352,641,2761
4,Nanterre *,34,987,1964,.503,333,798,.417,654,1166,.561,459,612,.750,253,722,975,541,213,78,330,607,2766
5,Pau-Lacq-Orthez *,34,942,2011,.468,256,716,.358,686,1295,.530,475,634,.749,249,835,1084,593,178,84,448,615,2615
6,Le Mans *,34,1031,2176,.474,274,748,.366,757,1428,.530,446,600,.743,323,763,1086,603,255,84,358,642,2782
7,Strasbourg *,34,998,2083,.479,236,681,.347,762,1402,.544,518,671,.772,309,796,1105,636,195,107,422,705,2750
8,Limoges *,34,1047,2133,.491,317,814,.389,730,1319,.553,454,615,.738,261,801,1062,688,214,71,391,620,2865
9,Bourg-en-Bresse,34,1022,2133,.479,282,794,.355,740,1339,.553,466,603,.773,294,792,1086,610,256,102,414,669,2792
10,Boulazac,34,1018,2245,.453,269,792,.340,749,1453,.515,403,603,.668,341,791,1132,610,258,67,362,668,2708
11,Gravelines-Dunkerque,34,970,2059,.471,295,790,.373,675,1269,.532,459,629,.730,268,766,1034,650,190,99,386,703,2694
12,Paris-Levallois,34,973,2154,.452,271,772,.351,702,1382,.508,436,595,.733,305,763,1068,548,215,80,381,674,2653
13,Chalons-Reims,34,1000,2002,.500,229,613,.374,771,1389,.555,520,718,.724,239,782,1021,559,206,73,434,631,2747
14,Chalon/Saone,34,1070,2218,.482,314,839,.374,756,1379,.548,449,611,.735,328,746,1074,661,257,62,416,584,2903
15,Cholet,34,956,2138,.447,225,679,.331,731,1459,.501,448,586,.765,301,746,1047,580,221,66,372,637,2585
16,Le Portel,34,989,2207,.448,257,704,.365,732,1503,.487,412,567,.727,309,764,1073,632,236,55,414,652,2647
17,Fos Provence,34,965,2113,.457,297,846,.351,668,1267,.527,364,525,.693,275,715,990,662,235,85,468,671,2591
18,Antibes,34,908,1963,.463,255,742,.344,653,1221,.535,448,688,.651,238,799,1037,588,210,70,476,696,2519
